venue_id,venue_name,city,state,capacity,elevation,latitude,longitude
5938,Al Whitehead Field at Greyhound Stadium,Portales,NM,4000.0,,34.1861922,-103.334397
218,FIU Stadium,Miami,FL,20000.0,1.718581796,25.7525014,-80.3778912
4779,Thomas A. Robinson National Stadium,Nassau,,15000.0,3.182889223,25.055569,-77.358736
11591,Lokken Stadium,Valley City,ND,,,,
5220,Garrison Stadium,Murfreesboro,TN,5000.0,18.69116974,36.434053,-77.098431
3884,RAM Stadium,East Point,GA,,,,
11589,Hinchliffe Stadium,Paterson,NJ,,,,
6043,Bethpage Federal Credit Union Stadium,Brookville,NY,6000.0,236,40.816284,-73.589546
11539,Charlotte & Gordon Hansen Stadium,Jamestown,ND,,,,
5096,Toyota Stadium,Georgetown,KY,5000.0,270.7148743,38.204444,-84.545556
3926,Setzler Field,Newberry,SC,4000.0,160.5950775,34.286133,-81.622539
5015,Turner Stadium,Upland,IN,4400.0,282.0275574,40.456862,-85.501228
5083,New Turner Stadium,Upland,IN,4400.0,282.0274963,40.456848,-85.501181
5348,Mercedes-Benz Stadium,Atlanta,GA,75000.0,307.9,33.755578,-84.400881
3689,Cramton Bowl,Montgomery,AL,25000.0,75.10210419,32.37949,-86.293002
538,StubHub Center,Carson,CA,27000.0,,33.8322043,-118.2517547
4258,Dignity Health Sports Park,Carson,CA,48114.0,39,33.864,-118.261
4205,Petco Park,San Diego,CA,0.0,,32.7174202,-117.1627728
3504,Aviva Stadium,Dublin,,51700.0,2.264276505,53.33523,-6.228447
3603,Aggie Stadium,Greensboro,NC,21500.0,235.1224518,36.0814337,-79.7700391
3717,Edwin Fauver Stadium,Rochester,NY,5111.0,,43.157285,-77.615214
5810,Coyer Field,Buffalo,NY,3000.0,,42.8867166,-78.8783922
7065,SoFi Stadium,Inglewood,CA,71500.0,,33.9562003,-118.353132
7003,Houck Field,Cape Girardeau,MO,10000.0,,37.3034933,-89.5230357
6048,Duane Stadium,North Andover,MA,3500.0,,42.6839894,-71.1127065
3718,Tom Benson Hall of Fame Stadium,Canton,OH,23000.0,,40.7985464,-81.3749508
5116,O'Shaughnessy Stadium,Saint Paul,MN,5025.0,,44.9497487,-93.0931028
3927,Sherman Field,Houghton,MI,4684.0,,46.8591287,-88.7774734
3827,"Memorial Stadium (Stephenville, TX)",Stephenville,TX,12000.0,,32.2191836,-98.2130634
6274,Audi Field,Washington,DC,20000.0,,38.8950368,-77.0365427
4762,Memorial Stadium (Commerce TX),Commerce,TX,11582.0,,33.2442615,-95.9006353
6075,W.B. Mason Stadium,North Easton,MA,2400.0,,42.0667665,-71.1036592
6269,Globe Life Field,Arlington,TX,40000.0,,32.7355816,-97.1071186
3494,The Dome at America's Center,Saint Louis,MO,66000.0,,38.6264256,-90.1995853
6177,Alexander Durley Sports Complex,Houston,TX,5500.0,,29.7589382,-95.3676974
5811,William Rolland Stadium,Thousand Oaks,CA,2000.0,,34.1705609,-118.8375937
5831,Dale Lippert Field,Franklin,MA,1500.0,,34.440962,-87.8339064
6127,John P. Papp Stadium,Wooster,OH,4500.0,,40.7980976,-81.9397733
5863,Don Shula Stadium at Wasmer Field,University Heights,OH,5416.0,,41.497831,-81.537346
5907,McCarthy Stadium (Wilkes Barre),Wilkes Barre Township,PA,3000.0,,41.23369915,-75.85364178943517
3709,Hempstead Stadium,Beverly,MA,3000.0,,42.5584284,-70.8800491
6092,Bishop Stadium,Rocky Mount,NC,5000.0,,35.9423833,-77.7956949
6091,Abel Stadium,Lincoln,NE,2500.0,,40.8088861,-96.7077751
6123,Jackson Field,Alpine,TX,4000.0,,30.3573802,-103.6609367
5816,Art Keller Field,Kenosha,WI,2448.0,,42.5846773,-87.8212263
5940,Clean Harbors Stadium,Buzzards Bay,MA,2300.0,,41.745383,-70.618087
5820,Amos Alonzo Stagg Field,Chicago,IL,3500.0,,41.8755616,-87.6244212
5828,Van Metre Field at Ash Park,Mount Vernon,IA,1100.0,,41.9222443,-91.4171209
6141,Corwin Stadium,Middletown,CT,3000.0,,41.5623178,-72.6509061
5893,Hollingsworth Field,Saint Peter,MN,3000.0,,44.3238384,-93.9585295
6147,"Memorial Stadium (Whittier, CA)",Whittier,CA,7000.0,,33.9708782,-118.0308396
5860,Mapleleaf Athletic Complex,Mount Pleasant,IA,5000.0,,40.966312,-91.5539956
7232,Children's Health Stadium,Prosper,TX,12000.0,,33.2385763,-96.7866058
5115,McCully Stadium,Wheaton,IL,4100.0,,41.8646959,-88.1101709
5815,Schneider Stadium,Waukesha,WI,2000.0,,43.0053145,-88.24736430153254
6090,Sherman Field at McConagha Stadium,New Concord,OH,2500.0,,39.9934992,-81.7338559
6153,Hanson Stadium,Forest Grove,OR,1100.0,,45.5197452,-123.1114405
5909,Ortmayer Stadium,La Verne,CA,2500.0,,34.1008426,-117.7678355
5801,George Finnie Stadium,Berea,OH,7800.0,,41.3661614,-81.8543026
5636,Wright Stadium,Oneonta,NY,1200.0,,42.453492,-75.0629531
5921,Rock Bowl,Dubuque,IA,10000.0,,42.5006243,-90.6647985
5795,Edor Nelson Field,Minneapolis,MN,1400.0,,44.9772995,-93.2654692
3716,"Stewart """"Red"""" Faught Stadium",Franklin,IN,4000.0,222.7,33.704156,-117.75109
7179,Toyota Field,Madison,AL,7000.0,,,
5134,Bearcat Stadium,Maryville,MO,6500.0,,40.3460468,-94.8723858
6059,Sanchez Family Stadium,Las Vegas,NM,5000.0,,35.5939325,-105.2238969
6071,Jess Dow Field,New Haven,CT,6000.0,,41.3082138,-72.9250518
6221,Mitchell Stadium,Bluefield,WV,10000.0,,37.2698395,-81.2223195
3885,Harvey Randall Wickes Memorial Stadium,University Center,MI,6800.0,,25.71414555,-80.27640498387049
3770,Jack Miller Stadium,Ashland,OH,6000.0,,40.8686147,-82.3175942
4436,Adamson Stadium,Brownsville,PA,6500.0,,40.0236854,-79.8839357
